Stock,Symbol
Camlin Fine,Yearly Results of Camlin Fine Sciences (in Rs. Cr.)
Campus Active,Yearly Results of Campus Activewear (in Rs. Cr.)
CAMS,Yearly Results of Computer Age Management Services (in Rs. Cr.)
Camson Bio Tech,Yearly Results of Camson Bio Technologies (in Rs. Cr.)
Camson Seeds,Yearly Results of Camson Seeds (in Rs. Cr.)
Can Fin Homes,Yearly Results of Can Fin Homes (in Rs. Cr.)
Cana Glass,Yearly Results of Cana Glass (in Rs. Cr.)
Canara Bank,Yearly Results of Canara Bank (in Rs. Cr.)
Canarys,Yearly Results of Canarys Automations (in Rs. Cr.)
Candour Techtex,Yearly Results of Candour Techtex (in Rs. Cr.)
Canopy,Yearly Results of Canopy Finance (in Rs. Cr.)
Cantabil Retail,Yearly Results of Cantabil Retail India (in Rs. Cr.)
Capacite Infra,Yearly Results of Capacite Infraprojects (in Rs. Cr.)
Capfin India,Yearly Results of Capfin India (in Rs. Cr.)
Capital First,Yearly Results of Capital First (in Rs. Cr.)
Capital India,Yearly Results of Capital India Finance (in Rs. Cr.)
Capital Trade,Yearly Results of Capital Trade Links (in Rs. Cr.)
Capital Trust,Yearly Results of Capital Trust (in Rs. Cr.)
Caplin Labs,Yearly Results of Caplin Point Laboratories (in Rs. Cr.)
Capman Financia,Yearly Results of Capman Financials (in Rs. Cr.)
Capri Global,Yearly Results of Capri Global Capital (in Rs. Cr.)
Capricorn,Yearly Results of Capricorn Systems Global Solutions (in Rs. Cr.)
Caprihans,Yearly Results of Caprihans India (in Rs. Cr.)
CaprolactumChem,Yearly Results of Caprolactum Chemicals (in Rs. Cr.)
Captain Pipes,Yearly Results of Captain Pipes (in Rs. Cr.)
Captain Poly,Yearly Results of Captain Polyplast (in Rs. Cr.)
Captain Technoc,Yearly Results of Captain Technocast (in Rs. Cr.)
Carborundum,Yearly Results of Carborundum Universal (in Rs. Cr.)
CARE Ratings,Yearly Results of CARE Ratings (in Rs. Cr.)
Career Point,Yearly Results of Career Point (in Rs. Cr.)
Cargosol Log,Yearly Results of Cargosol Logistics (in Rs. Cr.)
Cargotrans Mari,Yearly Results of Cargotrans Maritime (in Rs. Cr.)
Carnation Ind,Yearly Results of Carnation Industries (in Rs. Cr.)
Carol Info,Yearly Results of Carol Info Services (in Rs. Cr.)
CarTrade Tech,Yearly Results of CarTrade Tech (in Rs. Cr.)
Carysil,Yearly Results of Carysil (in Rs. Cr.)
Caspian,Yearly Results of Caspian Corporate Services (in Rs. Cr.)
Castex Tech,Yearly Results of Castex Technologies (in Rs. Cr.)
Castrol,Yearly Results of Castrol India (in Rs. Cr.)
Castron Technol,Yearly Results of Castron Technologies (in Rs. Cr.)
Cat Technologie,Yearly Results of Cat Technologies (in Rs. Cr.)
Catvision,Yearly Results of Catvision (in Rs. Cr.)
Cauvery Soft,Yearly Results of Cauvery Software (in Rs. Cr.)
CBPL,Yearly Results of Chandra Bhagat Pharma Limited (in Rs. Cr.)
CCCL,Yearly Results of Consolidated Construction Consortium (in Rs. Cr.)
CCL Internation,Yearly Results of CCL International (in Rs. Cr.)
CCL Products,Yearly Results of CCL Products India (in Rs. Cr.)
CCS Infotech,Yearly Results of CCS Infotech (in Rs. Cr.)
CDG PETCHEM,Yearly Results of CDG PETCHEM (in Rs. Cr.)
CDR Health Care,Yearly Results of CDR Health Care (in Rs. Cr.)
CDR Medical Ind,Yearly Results of CDR Medical Industries (in Rs. Cr.)
CDSL,Yearly Results of Central Depository Services Ltd (in Rs. Cr.)
Ceat,Yearly Results of Ceat (in Rs. Cr.)
Ceejay Finance,Yearly Results of Ceejay Finance (in Rs. Cr.)
Ceenik Exports,Yearly Results of Ceenik Exports (India) (in Rs. Cr.)
Ceeta Industrie,Yearly Results of Ceeta Industries (in Rs. Cr.)
Ceinsys Tech,Yearly Results of Ceinsys Tech (in Rs. Cr.)
Celebrity Fash,Yearly Results of Celebrity Fashions (in Rs. Cr.)
Celestial Bio,Yearly Results of Celestial Biolabs (in Rs. Cr.)
Cell Point,Yearly Results of Cell Point India (in Rs. Cr.)
Cella Space Ltd,Yearly Results of Cella Space Limited (in Rs. Cr.)
Cellecor,Yearly Results of Cellecor Gadgets (in Rs. Cr.)
Cello World,Yearly Results of Cello World (in Rs. Cr.)
Cellulose Prods,Yearly Results of Cellulose Products of India (in Rs. Cr.)
Cenlub,Yearly Results of Cenlub Industries (in Rs. Cr.)
Centennial Sutu,Yearly Results of Centennial Sutures (in Rs. Cr.)
Centerac Tech,Yearly Results of Centerac Technologies (in Rs. Cr.)
Central Bank,Yearly Results of Central Bank of India (in Rs. Cr.)
Central Prov Rl,Yearly Results of Central Provinces Railway Company (in Rs. Cr.)
Centron Ind,Yearly Results of Centron Industrial Alliance (in Rs. Cr.)
Centrum Capital,Yearly Results of Centrum Capital (in Rs. Cr.)
Centum Electron,Yearly Results of Centum Electronics (in Rs. Cr.)
Century,Yearly Results of Century Textiles and Industries (in Rs. Cr.)
Century Enka,Yearly Results of Century Enka (in Rs. Cr.)
Century Extr,Yearly Results of Century Extrusions (in Rs. Cr.)
CenturyPlyboard,Yearly Results of Century Plyboards (in Rs. Cr.)
Cera Sanitary,Yearly Results of Cera Sanitaryware (in Rs. Cr.)
Cerebra Int,Yearly Results of Cerebra Integrated Technologies (in Rs. Cr.)
CES Limited,Yearly Results of CES Limited (in Rs. Cr.)
CESC,Yearly Results of CESC (in Rs. Cr.)
Cethar Ind,Yearly Results of Cethar Industries (in Rs. Cr.)
CFF,Yearly Results of CFF Fluid Control (in Rs. Cr.)
CFL Capital,Yearly Results of CFL Capital Financial Services (in Rs. Cr.)
CG Consumer,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.)
CG Impex,Yearly Results of CG Impex (in Rs. Cr.)
CG Power ,Yearly Results of CG Power and Industrial Solutions (in Rs. Cr.)
CG-Vak Software,Yearly Results of CG-Vak Software and Exports (in Rs. Cr.)
Chadha Paper,Yearly Results of Chadha Paper (in Rs. Cr.)
Chain Impex Ltd,Yearly Results of Chain Impex (in Rs. Cr.)
Chalet Hotels,Yearly Results of Chalet Hotels (in Rs. Cr.)
CHALLANI,Yearly Results of CHALLANI CAPITAL (in Rs. Cr.)
Chamak Holdings,Yearly Results of Chamak Holdings (in Rs. Cr.)
Chaman Lal Seti,Yearly Results of Chaman Lal Setia Exports (in Rs. Cr.)
Chaman Metallic,Yearly Results of Chaman Metallics (in Rs. Cr.)
Chambal Brewery,Yearly Results of Chambal Breweries and Distilleries (in Rs. Cr.)
Chambal Fert,Yearly Results of Chambal Fertilisers and Chemicals (in Rs. Cr.)
Champion Finsec,Yearly Results of Monotona Securities (in Rs. Cr.)
Chandra Prabhu,Yearly Results of Chandra Prabhu International (in Rs. Cr.)
Chandrima Merca,Yearly Results of Chandrima Mercantiles (in Rs. Cr.)
Chankya Investm,Yearly Results of Chankya Investments (in Rs. Cr.)
Channel Nine,Yearly Results of Channel Nine Entertainment (in Rs. Cr.)
Charminar Gran,Yearly Results of Charminar Granites Exports (in Rs. Cr.)
Charms Ind,Yearly Results of Charms Industries (in Rs. Cr.)
Chartered Cap,Yearly Results of Chartered Capital and Investments (in Rs. Cr.)
Chartered Logis,Yearly Results of Chartered Logistics (in Rs. Cr.)
Chase Bright,Yearly Results of Chase Bright Steel Company (in Rs. Cr.)
Chavda Infra,Yearly Results of Chavda Infra (in Rs. Cr.)
CHD Chemicals,Yearly Results of CHD Chemicals (in Rs. Cr.)
CHD Developers,Yearly Results of CHD Developers (in Rs. Cr.)
Checkpoint,Yearly Results of Checkpoint Trends (in Rs. Cr.)
Chembond Chem,Yearly Results of Chembond Chemicals (in Rs. Cr.)
Chemcel Biotech,Yearly Results of Chemcel Biotech (in Rs. Cr.)
Chemcon Special,Yearly Results of Chemcon Speciality Chemicals (in Rs. Cr.)
Chemcrux Enterp,Yearly Results of Chemcrux Enterprises (in Rs. Cr.)
Chemfab Alkalis,Yearly Results of Chemfab Alkalis (in Rs. Cr.)
Chemiesynth (Va,Yearly Results of Chemiesynth (Vapi) Limited (in Rs. Cr.)
Chemo-Pharma,Yearly Results of Chemo-Pharma Laboratories (in Rs. Cr.)
CHEMPLAST SANMA,Yearly Results of Chemplast Sanmar (in Rs. Cr.)
Chemplast(OLD),Yearly Results of Chemplast(OLD) (in Rs. Cr.)
Chemtech Ind,Yearly Results of Chemtech Industrial Valves (in Rs. Cr.)
Chennai Ferrous,Yearly Results of Chennai Ferrous Industries (in Rs. Cr.)
Chennai Meenaks,Yearly Results of Chennai Meenakshi Multispeciality Hospital (in Rs. Cr.)
Chennai Petro,Yearly Results of Chennai Petroleum Corporation (in Rs. Cr.)
Cheslind Textil,Yearly Results of Cheslind Textiles (in Rs. Cr.)
Chetak Spintex,Yearly Results of Chetak Spintex (in Rs. Cr.)
Chetinad Cem,Yearly Results of Chettinad Cement (in Rs. Cr.)
Cheviot Company,Yearly Results of Cheviot Company (in Rs. Cr.)
Chhabra Spinner,Yearly Results of Chhabra Spinners (in Rs. Cr.)
Chicago Soft,Yearly Results of Chicago Software Industries (in Rs. Cr.)
Chiplun Fine,Yearly Results of Chiplun Fine Chemicals (in Rs. Cr.)
Chisel & Hammer,Yearly Results of Chisel & Hammer (Mobel) (in Rs. Cr.)
Chitradurga,Yearly Results of Chitradurga Spinners (in Rs. Cr.)
CHL,Yearly Results of CHL (in Rs. Cr.)
Choice Internat,Yearly Results of Choice International (in Rs. Cr.)
Chokhani Global,Yearly Results of Chokhani Global Express (in Rs. Cr.)
Chokhani Intl,Yearly Results of Chokhani International (in Rs. Cr.)
Choksi Imaging,Yearly Results of Choksi Imaging (in Rs. Cr.)
Choksi Labs,Yearly Results of Choksi Labs (in Rs. Cr.)
Chola Fin Hold,Yearly Results of Cholamandalam Financial Holdings (in Rs. Cr.)
Chola Invest.,Yearly Results of Cholamandalam Investment and Finance Company (in Rs. Cr.)
Chordia Food,Yearly Results of Chordia Food Products (in Rs. Cr.)
CHOTHANI FOODS ,Yearly Results of CHOTHANI FOODS Ltd. (in Rs. Cr.)
Chowgule Steam,Yearly Results of Chowgule Steamships (in Rs. Cr.)
CHPL Industries,Yearly Results of CHPL Industries (in Rs. Cr.)
Chromatic India,Yearly Results of Chromatic India (in Rs. Cr.)
CIAN Agro Indus,Yearly Results of CIAN Agro Industries & Infrastructure (in Rs. Cr.)
Cian Healthcare,Yearly Results of Cian Healthcare (in Rs. Cr.)
CIEINDIA,Yearly Results of CIE Automotive India (in Rs. Cr.)
CIFCO Finance,Yearly Results of CIFCO Finance (in Rs. Cr.)
Cigniti Tech,Yearly Results of Cigniti Technologies (in Rs. Cr.)
CIL Nova Petro,Yearly Results of CIL Nova Petrochemicals (in Rs. Cr.)
CIL Securities,Yearly Results of CIL Securities (in Rs. Cr.)
Cimmco,Yearly Results of Cimmco (in Rs. Cr.)
Cindrella Fin,Yearly Results of Cindrella Financial Services (in Rs. Cr.)
Cindrella Hotel,Yearly Results of Cindrella Hotels (in Rs. Cr.)
Cineline India,Yearly Results of Cineline India (in Rs. Cr.)
Cinemax India,Yearly Results of Cinemax India (in Rs. Cr.)
Cinerad Comm,Yearly Results of Cinerad Communications (in Rs. Cr.)
Cinevista,Yearly Results of Cinevista (in Rs. Cr.)
Cipla,Yearly Results of Cipla (in Rs. Cr.)
Circuit Systems,Yearly Results of Circuit Systems (India) (in Rs. Cr.)
Cistro Telelink,Yearly Results of Cistro Telelink (in Rs. Cr.)
Citadel Realty,Yearly Results of Citadel Realty and Developers (in Rs. Cr.)
Citi Port Fin,Yearly Results of Citi Port Financial Services (in Rs. Cr.)
Citizen Info,Yearly Results of Citizen Infoline (in Rs. Cr.)
Citizen Yarns,Yearly Results of Citizen Yarns (in Rs. Cr.)
Citurgia Bioche,Yearly Results of Citurgia Biochemicals (in Rs. Cr.)
City Crops Agro,Yearly Results of City Crops Agro (in Rs. Cr.)
City Online,Yearly Results of City Online Services (in Rs. Cr.)
City Pulse Mult,Yearly Results of City Pulse Multiplex (in Rs. Cr.)
City Union Bank,Yearly Results of City Union Bank (in Rs. Cr.)
Cityman,Yearly Results of Cityman (in Rs. Cr.)
CJ Gelatine,Yearly Results of CJ Gelatine Products (in Rs. Cr.)
CL Educate,Yearly Results of CL Educate (in Rs. Cr.)
Clara,Yearly Results of Clara Industries (in Rs. Cr.)
Claris Life,Yearly Results of Claris Lifesciences (in Rs. Cr.)
Clarisis Organi,Yearly Results of Clarisis Organics (in Rs. Cr.)
Claro India,Yearly Results of Claro India (in Rs. Cr.)
Classic Bio,Yearly Results of Classic Boitech and Export (in Rs. Cr.)
Classic Diamond,Yearly Results of Classic Diamonds (India) (in Rs. Cr.)
Classic Elec,Yearly Results of Classic Electricals (in Rs. Cr.)
Classic Global,Yearly Results of Classic Global Finance and Capital (in Rs. Cr.)
Classic GlobeSe,Yearly Results of Classic Globe Securities (in Rs. Cr.)
Classic Leasing,Yearly Results of Classic Leasing & Finance (in Rs. Cr.)
Clean Science,Yearly Results of Clean Science & Technology (in Rs. Cr.)
Clio Infotech,Yearly Results of Clio Infotech (in Rs. Cr.)
Clutch Auto,Yearly Results of Clutch Auto (in Rs. Cr.)
CM,Yearly Results of Chandni Machines (in Rs. Cr.)
CMC,Yearly Results of CMC (in Rs. Cr.)
CMI,Yearly Results of CMI (in Rs. Cr.)
CMM Infraprojec,Yearly Results of CMM Infraprojects (in Rs. Cr.)
CMS Info System,Yearly Results of CMS Info Systems (in Rs. Cr.)
CMS Infotech,Yearly Results of CMS Infotech (in Rs. Cr.)
CNI Research,Yearly Results of CNI Research (in Rs. Cr.)
Coal India,Yearly Results of Coal India (in Rs. Cr.)
Coastal Corp,Yearly Results of Coastal Trawlers (in Rs. Cr.)
Coastal Roadway,Yearly Results of Coastal Roadways (in Rs. Cr.)
Cochin Malabar,Yearly Results of Cochin Malabar (in Rs. Cr.)
Cochin Minerals,Yearly Results of Cochin Minerals and Rutile (in Rs. Cr.)
Cochin Shipyard,Yearly Results of Cochin Shipyard (in Rs. Cr.)
Coffee Day,Yearly Results of Coffee Day Enterprises (in Rs. Cr.)
COFORGE LTD.,Yearly Results of COFORGE LIMITED (in Rs. Cr.)
Coimbatore Laks,Yearly Results of Coimbatore Lakshmi Investment and Finance (in Rs. Cr.)
Colab Cloud,Yearly Results of Colab Cloud Platforms (in Rs. Cr.)
Colgate,Yearly Results of Colgate Palmolive (India) (in Rs. Cr.)
Colinz Labs,Yearly Results of Colinz Laboratories (in Rs. Cr.)
Colorchips New ,Yearly Results of Colorchips New Media (in Rs. Cr.)
Comfort,Yearly Results of Comfort Infotech (in Rs. Cr.)
Comfort Comm,Yearly Results of Comfort Commotrade (in Rs. Cr.)
Comfort Fincap,Yearly Results of Comfort Fincap (in Rs. Cr.)
COMMAND,Yearly Results of Command Polymers (in Rs. Cr.)
Commercial Syn ,Yearly Results of Commercial Syn Bags (in Rs. Cr.)
Commex Tech,Yearly Results of Commex Technology (in Rs. Cr.)
Committed Cargo,Yearly Results of Committed Cargo Care (in Rs. Cr.)
Compact Disc,Yearly Results of Compact Disc (in Rs. Cr.)
Competent Auto,Yearly Results of Competent Automobiles Company (in Rs. Cr.)
Compuage Info,Yearly Results of Compuage Infocom (in Rs. Cr.)
Compucom Soft,Yearly Results of Compucom Software (in Rs. Cr.)
Compudyne,Yearly Results of Compudyne Winfosys (in Rs. Cr.)
Computech Inter,Yearly Results of Computech International (in Rs. Cr.)
Computer Point,Yearly Results of Computer Point (India) (in Rs. Cr.)
Computerskill,Yearly Results of Computerskill (in Rs. Cr.)
Conart Engineer,Yearly Results of Conart Engineers (in Rs. Cr.)
Concord Control,Yearly Results of Concord Control Systems (in Rs. Cr.)
Concord Drugs,Yearly Results of Concord Drugs (in Rs. Cr.)
Concrete Credit,Yearly Results of Concrete Credit (in Rs. Cr.)
Concurrent,Yearly Results of Concurrent (India) Infrastructure (in Rs. Cr.)
Confidence Fin,Yearly Results of Confidence Finance and Trading (in Rs. Cr.)
Confidence Futu,Yearly Results of Confidence Futuristic Energetech (in Rs. Cr.)
ConfidencePetro,Yearly Results of Confidence Petroleum (in Rs. Cr.)
Consecutive Inv,Yearly Results of Consecutive Investment & Trading Company (in Rs. Cr.)
Consol Finvest,Yearly Results of  (in Rs. Cr.)
Consortex Karl,Yearly Results of Consortex Karl Doelitzch (in Rs. Cr.)
Constronics Inf,Yearly Results of Constronics Infra Limited (in Rs. Cr.)
Containe Tech,Yearly Results of Containe Technologies (in Rs. Cr.)
Container Corp,Yearly Results of Container Corporation of India (in Rs. Cr.)
Containerway,Yearly Results of Containerway International Lim (in Rs. Cr.)
Contech Soft,Yearly Results of Contech Software (in Rs. Cr.)
Contil India,Yearly Results of Contil India (in Rs. Cr.)
Continent Chem,Yearly Results of Continental Chemicals (in Rs. Cr.)
Continent Const,Yearly Results of Continental Construction (in Rs. Cr.)
Continent Petro,Yearly Results of Continental Petroleums (in Rs. Cr.)
Continental Sec,Yearly Results of Continental Securities (in Rs. Cr.)
Continental See,Yearly Results of Continental Seeds And Chemicals (in Rs. Cr.)
ContinentContro,Yearly Results of Continental Controls (in Rs. Cr.)
Control Print,Yearly Results of Control Print (in Rs. Cr.)
Cool Caps,Yearly Results of Cool Caps Industries (in Rs. Cr.)
Coral Hub,Yearly Results of Coral Hub (in Rs. Cr.)
Coral India Fin,Yearly Results of Coral India Finance and Housing (in Rs. Cr.)
Coral Labs,Yearly Results of Coral Laboratories (in Rs. Cr.)
Coral Newsprint,Yearly Results of Coral Newsprints (in Rs. Cr.)
Cords Cable Ind,Yearly Results of Cords Cable Industries (in Rs. Cr.)
CORE Education,Yearly Results of CORE Education & Technologies (in Rs. Cr.)
Core Healthcare,Yearly Results of Core Healthcare (in Rs. Cr.)
Coromandel Agro,Yearly Results of Coromandel Agro Products and Oils (in Rs. Cr.)
Coromandel Engg,Yearly Results of Coromandel Engineering Company (in Rs. Cr.)
Coromandel Int,Yearly Results of Coromandel International (in Rs. Cr.)
Corp Courier,Yearly Results of Corporate Courier and Cargo (in Rs. Cr.)
Corporate Merch,Yearly Results of Corporate Merchant Bankers (in Rs. Cr.)
Corporation Bk,Yearly Results of Corporation Bank (in Rs. Cr.)
Cosboard Ind,Yearly Results of Cosboard Industries (in Rs. Cr.)
Cosco India,Yearly Results of Cosco (India) (in Rs. Cr.)
Cosmo Ferrites,Yearly Results of Cosmo Ferrites (in Rs. Cr.)
Cosmo First,Yearly Results of Cosmo First (in Rs. Cr.)
Cospower,Yearly Results of Cospower Engineering (in Rs. Cr.)
COSYN,Yearly Results of COSYN (in Rs. Cr.)
Country Club,Yearly Results of Country Club Hospitality & Holidays (in Rs. Cr.)
Country Condos,Yearly Results of Country Condos (in Rs. Cr.)
Coventry Coil,Yearly Results of Conventry Coil O Matic (Haryana) (in Rs. Cr.)
Coventry Spring,Yearly Results of Coventry Spring and Engineering (in Rs. Cr.)
Cox & Kings,Yearly Results of Cox & Kings (in Rs. Cr.)
CPEC,Yearly Results of CPEC (in Rs. Cr.)
Craftsman,Yearly Results of Craftsman Automation (in Rs. Cr.)
Crane Infra,Yearly Results of Crane Infrastructure (in Rs. Cr.)
Cranes Software,Yearly Results of Cranes Software International (in Rs. Cr.)
Cranex,Yearly Results of Cranex (in Rs. Cr.)
Cravatex,Yearly Results of Cravatex (in Rs. Cr.)
Crayons Advert,Yearly Results of Crayons Advertising (in Rs. Cr.)
Crazy Infotech,Yearly Results of Crazy Infotech (in Rs. Cr.)
CRB Share Custo,Yearly Results of CRB Share Custodian Services (in Rs. Cr.)
Creative Cast.,Yearly Results of Creative Castings (in Rs. Cr.)
Creative Eye,Yearly Results of Creative Eye (in Rs. Cr.)
Creative Merch,Yearly Results of Creative Merchants (in Rs. Cr.)
Creative New,Yearly Results of Creative Newtech (in Rs. Cr.)
Credence Sound,Yearly Results of Credence Sound and Vision (in Rs. Cr.)
CREDENT GLOBAL,Yearly Results of CREDENT GLOBAL FINANCE (in Rs. Cr.)
CreditAccess Gr,Yearly Results of CreditAccess Grameen (in Rs. Cr.)
Credo Brands Ma,Yearly Results of Credo Brands Marketing (in Rs. Cr.)
Crescent Leasin,Yearly Results of Crescent Leasing (in Rs. Cr.)
Cressanda Sol,Yearly Results of Cressanda Solution (in Rs. Cr.)
Crest Animation,Yearly Results of Crest Animation Studios (in Rs. Cr.)
Crest Ventures,Yearly Results of Crest Ventures (in Rs. Cr.)
Crestchem,Yearly Results of Crestchem (in Rs. Cr.)
Crew B.O.S.,Yearly Results of Crew B.O.S. Products (in Rs. Cr.)
Crimson Metal,Yearly Results of Crimson Metal Engineering Company (in Rs. Cr.)
CRISIL,Yearly Results of CRISIL (in Rs. Cr.)
Croissance,Yearly Results of Croissance (in Rs. Cr.)
Cromakem Ltd,Yearly Results of Cromakem (in Rs. Cr.)
Crop Life Sci,Yearly Results of Crop Life Science (in Rs. Cr.)
CROPSTER AGRO,Yearly Results of CROPSTER AGRO (in Rs. Cr.)
Crown Lifters,Yearly Results of Crown Lifters (in Rs. Cr.)
CRP Risk Manage,Yearly Results of CRP Risk Management Ltd (in Rs. Cr.)
Crystal Softwar,Yearly Results of Crystal Software Solutuions (in Rs. Cr.)
CSB Bank,Yearly Results of CSB Bank (in Rs. Cr.)
CSJ Tech,Yearly Results of CSJ Technologies (in Rs. Cr.)
CSL Fin,Yearly Results of CSL Finance (in Rs. Cr.)
CT Cotton Yarn,Yearly Results of CT Cotton Yarn (in Rs. Cr.)
CTIL,Yearly Results of CTIL (in Rs. Cr.)
Cubex Tubings,Yearly Results of Cubex Tubings (in Rs. Cr.)
Cubical Fin Ser,Yearly Results of Cubical Financial Services (in Rs. Cr.)
Cummins,Yearly Results of Cummins India (in Rs. Cr.)
Cupid,Yearly Results of Cupid (in Rs. Cr.)
Cupid Trades,Yearly Results of Cupid Trades (in Rs. Cr.)
Cura Tech,Yearly Results of Cura Technologies (in Rs. Cr.)
Cvil Infra,Yearly Results of Cvil Infra (in Rs. Cr.)
CWD,Yearly Results of CWD (in Rs. Cr.)
Cybele Ind,Yearly Results of Cybele Industries (in Rs. Cr.)
Cyber Media,Yearly Results of Cyber Media (India) (in Rs. Cr.)
Cyber Media Res,Yearly Results of Cyber Media Research and Services (in Rs. Cr.)
Cyberscape Mult,Yearly Results of Cyberscape Multimedia (in Rs. Cr.)
Cybertech,Yearly Results of Cybertech Systems and Software (in Rs. Cr.)
Cyient,Yearly Results of Cyient (in Rs. Cr.)
D & H India,Yearly Results of D & H India (in Rs. Cr.)
D P Wires,Yearly Results of D P Wires (in Rs. Cr.)
D-Link India,Yearly Results of D-Link India (in Rs. Cr.)
D. P. Abhushan,Yearly Results of D. P. Abhushan (in Rs. Cr.)
D.K. Enterprise,Yearly Results of D.K. Enterprises Global (in Rs. Cr.)
Dabur India,Yearly Results of Dabur India (in Rs. Cr.)
Daewoo Motors,Yearly Results of Daewoo Motors (India) (in Rs. Cr.)
Dai-Ichi Karkar,Yearly Results of Dai-Ichi Karkaria (in Rs. Cr.)
Daikaffil Chem,Yearly Results of Daikaffil Chemicals India (in Rs. Cr.)
Dalal Street,Yearly Results of Dalal Street Investments (in Rs. Cr.)
Dalmia Bharat,Yearly Results of Dalmia Bharat (in Rs. Cr.)
Dalmia Indus,Yearly Results of Dalmia Industries (in Rs. Cr.)
Dalmia Industri,Yearly Results of Dalmia Industrial Development (in Rs. Cr.)
Dalmia Refract,Yearly Results of Dalmia Refractories (in Rs. Cr.)
Dalmia Sugar,Yearly Results of Dalmia Bharat Sugar and Industries (in Rs. Cr.)
Damodar Ind,Yearly Results of Damodar Industries (in Rs. Cr.)
Dangee Dums,Yearly Results of Dangee Dums (in Rs. Cr.)
Danlaw Tech,Yearly Results of Danlaw Technologies India (in Rs. Cr.)
Danube Ind.,Yearly Results of Danube Industries (in Rs. Cr.)
DAPS Ad,Yearly Results of DAPS Advertising (in Rs. Cr.)
Darjeeling Rope,Yearly Results of Darjeeling Ropeway Company Limited (in Rs. Cr.)
Darshan Oils,Yearly Results of Darshan Oils (in Rs. Cr.)
Darshan Orna,Yearly Results of Darshan Orna (in Rs. Cr.)
Data Infra,Yearly Results of Data Infrastructure Trust (in Rs. Cr.)
Data Infra RE,Yearly Results of Data Infrastructure Trust RE (in Rs. Cr.)
Data Patterns,Yearly Results of Data Patterns (India) (in Rs. Cr.)
Database Fin,Yearly Results of Database Finance (in Rs. Cr.)
Datamatics Glob,Yearly Results of Datamatics Global Services (in Rs. Cr.)
Datapro Info,Yearly Results of Datapro Information Technology (in Rs. Cr.)
Datar Switchgea,Yearly Results of Data Switchgear (in Rs. Cr.)
Datasoft Appl,Yearly Results of Datasoft Application Software (India) (in Rs. Cr.)
Datiware Mariti,Yearly Results of Datiware Maritime Infra (in Rs. Cr.)
Daulat Sec,Yearly Results of Daulat Securities (in Rs. Cr.)
Davangere Sugar,Yearly Results of Davangere Sugar Company (in Rs. Cr.)
Dazzel Confi,Yearly Results of Dazzel Confindive (in Rs. Cr.)
DB (Int) Stock,Yearly Results of DB (International) Stock Brokers (in Rs. Cr.)
DB Corp,Yearly Results of DB Corp (in Rs. Cr.)
DB Realty,Yearly Results of DB Realty (in Rs. Cr.)
DBOL,Yearly Results of Dhampur Bio Organics (in Rs. Cr.)
DCB Bank,Yearly Results of DCB Bank (in Rs. Cr.)
DCI,Yearly Results of DC Infotech and Communication (in Rs. Cr.)
DCL,Yearly Results of DEVOTED CONSTRUCTION LIMITED (in Rs. Cr.)
DCM,Yearly Results of DCM (in Rs. Cr.)
DCM Financial,Yearly Results of DCM Financial (in Rs. Cr.)
DCM Shriram,Yearly Results of DCM Shriram (in Rs. Cr.)
DCM Shriram Ind,Yearly Results of  (in Rs. Cr.)
DCW,Yearly Results of DCW (in Rs. Cr.)
DCX Systems,Yearly Results of DCX Systems (in Rs. Cr.)
DDEVPLASTIK,Yearly Results of Ddev Plastiks Industries (in Rs. Cr.)
De Neers Tools,Yearly Results of De Neers Tools (in Rs. Cr.)
De Nora India,Yearly Results of De Nora India (in Rs. Cr.)
Debock Ind.,Yearly Results of Debock Industries (in Rs. Cr.)
Deccan Bearings,Yearly Results of Deccan Bearings (in Rs. Cr.)
Deccan Cements,Yearly Results of Deccan Cements (in Rs. Cr.)
Deccan Gold,Yearly Results of Deccan Gold Mines (in Rs. Cr.)
Deccan Health C,Yearly Results of Deccan Health Care (in Rs. Cr.)
Deccan Poly,Yearly Results of Deccan Polypacks (in Rs. Cr.)
DeccanChronicle,Yearly Results of Deccan Chronicle Holdings (in Rs. Cr.)
Decillion Fin,Yearly Results of Decillion Finance (in Rs. Cr.)
DECIPHER LABS,Yearly Results of DECIPHER LABS (in Rs. Cr.)
Deco Mica,Yearly Results of Deco Mica (in Rs. Cr.)
Decolight Ceram,Yearly Results of Decolight Ceramics (in Rs. Cr.)
Decorous Invest,Yearly Results of Decorous Investment & Trading Co. (in Rs. Cr.)
Dee-Kartavya,Yearly Results of Dee-Kartavya (in Rs. Cr.)
Deep Diamond,Yearly Results of Deep Diamond India (in Rs. Cr.)
Deep Energy Res,Yearly Results of Deep Energy Resources Limited (in Rs. Cr.)
Deep Ind,Yearly Results of Deep Industries (in Rs. Cr.)
Deep Polymers L,Yearly Results of Deep Polymers Limited (in Rs. Cr.)
Deepak Chemtex,Yearly Results of Deepak Chemtex (in Rs. Cr.)
Deepak Fert,Yearly Results of Deepak Fertilisers And Petrochemicals Corporation (in Rs. Cr.)
Deepak Nitrite,Yearly Results of Deepak Nitrite (in Rs. Cr.)
Deepak Spinners,Yearly Results of Deepak Spinners (in Rs. Cr.)
Delhivery,Yearly Results of Delhivery (in Rs. Cr.)
Delma Infra,Yearly Results of Delma Infrastructure (in Rs. Cr.)
DELPHI WORLD,Yearly Results of DELPHI WORLD MONEY (in Rs. Cr.)
